pokemon_id,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus
11,"Route 25, Viridian Forest","Route 24, Route 25, Viridian Forest",Viridian Forest,"Route 30, Route 31, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27",National Park,"Route 45, Route 46, Ilex Forest, National Park, Route 24, Route 25",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Eterna Forest FR Inserted into DS,Eterna Forest FR Inserted into DS,Eterna Forest (FireRed Inserted),"Route 2, Route 30, Route 31, Ilex Forest, National Park, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Bug Catching Contest,Trade from White,Route 12,Trade Required,Evolve Caterpie,Evolve Caterpie,Santalune Forest,Trade from X & Y,Trade from X & Y,"Route 1 , Route 5 , Lush Jungle , Melemele Meadow","Route 1 , Route 5 , Lush Jungle , Melemele Meadow","Route 5 , Lush Jungle , Melemele Meadow","Route 5 , Lush Jungle , Melemele Meadow","Rolling Fields , Max Raid Battles: Bridge Field , Dappled Grove , Rolling Fields , South Lake Miloch","Rolling Fields , Max Raid Battles: Bridge Field , Dappled Grove , Rolling Fields , South Lake Miloch",Evolve Caterpie,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
12,Evolve Metapod,Evolve Metapod,Evolve Metapod,"Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27",National Park,"Route 45, Route 46, Ilex Forest, National Park, Route 2, Route 24, Route 25",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Metapod,Evolve Metapod,Evolve Metapod,Evolve Metapod,Evolve Metapod,"Route 2, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Bug Catching Contest,Trade from White,Route 12,Trade Required,Hidden Grotto - Pinwheel Forest,"Evolve Metapod , Friend Safari","Evolve Metapod , Friend Safari",Trade from X & Y,Trade from X & Y,"Route 5 , Lush Jungle (SOS Only), Melemele Meadow","Route 5 , Lush Jungle (SOS Only), Melemele Meadow","Route 5 , Lush Jungle (SOS Only), Melemele Meadow","Route 5 , Lush Jungle (SOS Only), Melemele Meadow","East Lake Axewell , Giant's Mirror , Rolling Fields , Slumbering Weald , Max Raid Battles: Bridge Field , Dappled Grove , East Lake Axewell , Giant's Cap , Hammerlocke Hills , Rolling Fields , South Lake Miloch , Gigantamax Raid Battles: Rolling Fields","East Lake Axewell , Giant's Mirror , Rolling Fields , Slumbering Weald , Max Raid Battles: Bridge Field , Dappled Grove , East Lake Axewell , Giant's Cap , Hammerlocke Hills , Rolling Fields , South Lake Miloch , Gigantamax Raid Battles: Rolling Fields",Evolve Metapod,Trade from Pokémon Brilliant Diamond,Not found in Legends Arceus
13,"Route 2, Route 24, Route 25, Viridian Forest","Route 25, Viridian Forest","Trade from Red, Green or Blue",National Park,"Route 30, Route 31, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27","Route 30, Route 31, Route 45, Route 46, Ilex Forest, National Park",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Route 204-South LG Inserted into DS,Route 204-South LG Inserted into DS,"Route 204, Eterna Forest (LeafGreen Inserted)",Bug Catching Contest,"Route 2, Route 30, Route 31, Ilex Forest, National Park, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Breed Kakuna/BeedrillNone. PokéTransfer or Dream World,None. PokéTransfer or Dream World,Breed Beedrill,Trade Required,"Route 2, Santalune Forest",Santalune Forest,Breed Kakuna,Breed Kakuna,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Breed Beedrill,Breed Beedrill,Not found in Sword,Not found in Shield,Trade from Pokémon Shining Pearl,Grand Underground,Not found in Legends Arceus
14,"Route 24, Route 25, Viridian Forest","Route 25, Viridian Forest","Trade from Red, Green or Blue",National Park,"Route 30, Route 31, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27","Route 45, Route 46, Ilex Forest, National Park",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Eterna Forest LG Inserted into DS,Eterna Forest LG Inserted into DS,Eterna Forest (LeafGreen Inserted),Bug Catching Contest,"Route 2, Route 30, Route 31, Ilex Forest, National Park, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Route 12,Trade from Black,Evolve Weedle,Trade Required,"Santalune Forest , Friend Safari","Evolve Weedle , Friend Safari",Safari Zone,Safari Zone,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Weedle,Evolve Weedle,Not found in Sword,Not found in Shield,Trade from Pokémon Shining Pearl,Evolve Weedle,Not found in Legends Arceus
15,Evolve Kakuna,Evolve Kakuna,"Trade from Red, Green or Blue",National Park,"Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Azalea Town, Ilex Forest, National Park, Lake of Rage, Route 2, Route 26, Route 27","Route 45, Route 46, Ilex Forest, National Park",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,Bug Catching Contest,"Route 2, Viridian Forest , Ilex Forest (Headbutt) , Bug Catching Contest",Route 12,Trade from Black,Hidden Grotto - Pinwheel Forest,Trade Required,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 4 - Island Scan (Thursday),Route 4 - Island Scan (Thursday),Not found in Sword,Not found in Shield,Trade from Pokémon Shining Pearl,Evolve Kakuna,Not found in Legends Arceus
16,"Route 1, Route 2, Route 3, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Route 21, Route 24, Route 25","Route 1, Route 2, Route 3, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Route 21, Route 24, Route 25","Route 1, Route 2, Route 5, Route 6, Route 7, Route 8, Route 11, Route 12, Route 13, Route 21, Route 24, Route 25, Viridian Forest","Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, National Park, Route 1, Route 2, Route 5, Route 6, Route 25","Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, National Park, Route 1, Route 2, Route 5, Route 6, Route 25","Route 29, Route 30, Route 31, Route 32, Route 34, Route 35, Route 36, Route 37, Ilex Forest, National Park, Route 1, Route 2, Route 5, Route 25",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow","Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow",Swarm in Route 229,Swarm in Route 229,Route 229,"Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 37, Route 35, Route 36, Route 37, National Park, Viridian Forest , Safari Zone","Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 37, Route 35, Route 36, Route 37, National Park, Viridian Forest , Safari Zone",Trade from White,White Forest,Trade Required,Trade Required,"Route 2, Route 3 , Friend Safari","Route 2, Route 3 , Friend Safari",Breed Pidgeotto,Breed Pidgeotto,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Breed Pidgeot,Breed Pidgeot,Not found in Sword,Not found in Shield,Route 229,Route 229,Not found in Legends Arceus
17,"Route 14, Route 15, Route 21","Route 14, Route 15, Route 21","Route 5, Route 6, Route 7, Route 8, Route 11, Route 12, Route 13, Route 14, Route 15, Route 21, Route 24, Route 25, Viridian Forest","Route 37, Route 43, Route 2, Route 8, Route 13, Route 14, Route 15, Route 25","Route 37, Route 43, Route 2, Route 8, Route 13, Route 14, Route 15, Route 25","Route 37, Route 38, Route 39, Route 43, Route 2, Route 5, Route 8, Route 11, Route 13, Route 14, Route 15, Route 25",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 13, 14, & 15, Bond Bridge, Five Isle Meadow","Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15 & 25, Viridian Forest, Bond Bridge, Berry Bush, Five Isle Meadow",Evolve from Pidgey,Evolve from Pidgey,Evolve Pidgey,"Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 37, Route 43, Viridian Forest","Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 37, Route 43, Viridian Forest",Trade from White,Evolve Pidgey,Trade Required,Trade Required,Evolve Pidgey,Evolve Pidgey,Safari Zone,Safari Zone,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Evolve Pidgey,Evolve Pidgey,Not found in Sword,Not found in Shield,Evolve Pidgey,Evolve Pidgey,Not found in Legends Arceus
18,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Pidgeotto,Evolve Pidgeotto,Evolve from Pidgeotto,Evolve from Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Trade from White,Evolve Pidgeotto,Trade Required,Trade Required,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Trade from Ultra Sun/Ultra Moon,Trade from Ultra Sun/Ultra Moon,Route 10 - Island Scan (Thursday),Route 10 - Island Scan (Thursday),Not found in Sword,Not found in Shield,Evolve Pidgeotto,Evolve Pidgeotto,Not found in Legends Arceus
19,"Route 1, Route 2, Route 4, Route 9, Route 16, Route 21, Route 22","Route 1, Route 2, Route 4, Route 9, Route 16, Route 21, Route 22","Route 1, Route 2, Route 3, Route 4, Route 5, Route 6, Route 7, Route 8, Route 9, Route 10, Route 11, Route 16, Route 18, Route 21, Route 22, Pokémon Mansion","Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Route 38, Route 39, Route 46, Sprout Tower, Union Cave, Mt. Mortar, Tin Tower, Burned Tower, Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Tohjo Falls","Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Route 46, Sprout Tower, Union Cave, Mt. Mortar, Tin Tower, Burned Tower, Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Tohjo Falls","Route 29, Route 32, Route 33, Route 34, Route 38, Route 39, Route 42, Route 46, Sprout Tower, Union Cave, Mt. Mortar, Tin Tower, Burned Tower, Route 1, Route 3, Route 4, Route 6, Route 7, Route 9, Route 11, Route 21, Route 22, Tohjo Falls",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 1, 2, 4, 9, 17, 18, 22 & Pokémon Mansion","Routes 1, 2, 4, 9, 17, 18, 22 & Pokémon Mansion",Routes 225 & 226,Routes 225 & 226,"Route 225, Route 226","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 32, Route 33, Route 38, Route 39, Route 46, Sprout Tower, Union Cave, Mt. Mortar, Bell Tower, Burnt Tower, Tohjo Falls , Safari Zone","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 46, Sprout Tower, Union Cave, Mt. Mortar, Bell Tower, Burnt Tower, Tohjo Falls , Safari Zone",Breed Raticate,Breed Raticate,"Castelia City Sewers, Relic Passage, Castelia City","Castelia City Sewers, Relic Passage, Castelia City",Transfer required,Transfer required,Route 117,Route 117,"Route 1 , Route 2 , Route 3 , Route 4 , Route 6 , Route 8 , Hau'oli City , Kala'e Bay","Route 1 , Route 2 , Route 3 , Route 4 , Route 6 , Route 8 , Hau'oli City , Kala'e Bay , Verdant Cavern","Route 1 , Route 2 , Route 4 , Route 6 , Route 8 , Kala'e Bay","Route 1 , Route 2 , Route 4 , Route 6 , Route 8 , Kala'e Bay , Verdant Cavern",Not found in Sword,Not found in Shield,"Route 225 , Route 226 , Grand Underground","Route 225 , Route 226 , Grand Underground",Not found in Legends Arceus
20,"Route 16, Route 17, Route 18, Route 21","Route 16, Route 17, Route 18, Route 21","Route 9, Route 10, Route 11, Route 16, Route 18, Route 21, Pokémon Mansion","Route 38, Route 39, Union Cave, Mt. Mortar, Burned Tower, Route 7, Route 9, Route 10, Route 26, Route 27, Tohjo Falls","Route 38, Route 39, Union Cave, Mt. Mortar, Burned Tower, Route 7, Route 9, Route 10, Route 26, Route 27, Tohjo Falls","Route 38, Route 39, Route 42, Route 43, Union Cave, Mt. Mortar, Burned Tower, Route 1, Route 3, Route 4, Route 6, Route 7, Route 9, Route 10, Route 11, Route 21, Route 26, Route 27, Tohjo Falls",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 17, 18 & Pokémon Mansion","Routes 17, 18 & Pokémon Mansion",Routes 225 & 226,Routes 225 & 226,"Route 225, Route 226","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Union Cave, Mt. Mortar, Burnt Tower, Tohjo Falls , Safari Zone","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Union Cave, Mt. Mortar, Burnt Tower, Tohjo Falls , Safari Zone",Dreamyard,Dreamyard,"Relic Passage, Dreamyard, Strange House","Relic Passage, Dreamyard, Strange House",Transfer required,Transfer required,Route 118,Route 118,"Route 10 , Route 11 , Route 15 , Route 16 , Route 17 , Akala Outskirts , Ancient Poni Path , Malie City , Poni Gauntlet , Poni Grove , Poni Plains , Poni Wilds , Tapu Village","Route 10 , Route 11 , Route 15 , Route 16 , Route 17 , Akala Outskirts , Ancient Poni Path , Malie City , Poni Gauntlet , Poni Grove , Poni Plains , Poni Wilds , Tapu Village","Route 8 (SOS Only), Route 10 , Route 15 , Route 16 , Route 17 , Akala Outskirts , Mount Lanakila , Poni Plains , Tapu Village","Route 8 (SOS Only), Route 10 , Route 15 , Route 16 , Route 17 , Akala Outskirts , Mount Lanakila , Poni Plains , Tapu Village",Not found in Sword,Not found in Shield,"Route 225 , Route 226 , Grand Underground","Route 225 , Route 226 , Grand Underground",Not found in Legends Arceus
21,"Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23","Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23","Route 3, Route 4, Route 9, Route 16, Route 18, Route 22","Route 29, Route 30, Route 31, Route 32, Route 33, Route 42, Route 43, Route 44, Route 45, Route 46, Route 3, Route 4, Route 7, Route 9, Route 10, Route 22","Route 29, Route 30, Route 31, Route 32, Route 33, Route 42, Route 43, Route 44, Route 45, Route 46, Route 3, Route 4, Route 7, Route 9, Route 10, Route 22","Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Route 35, Route 36, Route 37, Route 38, Route 39, Route 42, Route 46, Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 26, Route 27",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Routes 3, 4, 9, 10, 11, 17, 18, 22, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance","Routes 3, 4, 9, 10, 11, 17, 18, 22, 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Water Path, Ruin Valley, Canyon Entrance",Routes 225 & 226,Routes 225 & 226,Route 225,"Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Route 47 , Routes 7, 11, 16, 33, 42, 44, 45 & 46, Azalea Town, Vemillion City & Azalea Town (Headbutt) , Safari Zone","Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Route 47 , Routes 7, 11, 16, 33, 42, 44, 45 & 46, Azalea Town, Vemillion City & Azalea Town (Headbutt) , Safari Zone",Breed Fearow,Breed Fearow,Breed Fearow,Breed Fearow,"Breed Fearow , Friend Safari","Breed Fearow , Friend Safari",Trade from X & Y,Trade from X & Y,"Route 2 , Route 3","Route 2 , Route 3","Route 2 , Route 3","Route 2 , Route 3",Not found in Sword,Not found in Shield,"Route 225 , Route 226","Route 225 , Route 226",Not found in Legends Arceus
