pokedex_number,name,generation,classification,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
18,Mega Pidgeot,1,Bird Pokemon,['No Guard'],2.2,50.5,Normal,Flying,579,83,80,80,135,80,121,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,"3,855",70,0,0,1
19,Rattata,1,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.3,3.5,Normal,None,253,30,56,35,25,35,72,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,"3,855",70,0,0,0
19,Alolan Rattata,1,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.3,3.8,Dark,Normal,253,30,56,35,25,35,72,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,255,"3,855",70,0,0,0
20,Raticate,1,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.7,18.5,Normal,None,413,55,81,60,50,70,97,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,127,"3,855",70,0,0,0
20,Alolan Raticate,1,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.7,25.5,Dark,Normal,413,75,71,70,40,80,77,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1,127,"3,855",70,0,0,0
21,Spearow,1,Tiny Bird Pokemon,"['Keen Eye', 'Sniper']",0.3,2,Normal,Flying,262,40,60,30,31,31,70,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,"3,855",70,0,0,0
22,Fearow,1,Beak Pokemon,"['Keen Eye', 'Sniper']",1.2,38,Normal,Flying,442,65,90,65,61,61,100,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,"3,855",70,0,0,0
23,Ekans,1,Snake Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",2,6.9,Poison,None,288,35,60,44,40,54,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,255,"5,140",70,0,0,0
24,Arbok,1,Cobra Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",3.5,65,Poison,None,448,60,95,69,65,79,80,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,"5,140",70,0,0,0
25,Pikachu,1,Mouse Pokemon,"['Static', 'Lightning Rod']",0.4,6,Electric,None,320,35,55,40,50,50,90,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,"2,570",70,0,0,0
26,Raichu,1,Mouse Pokemon,"['Static', 'Lightning Rod']",0.8,30,Electric,None,485,60,90,55,90,80,110,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,"2,570",70,0,0,0
26,Alolan Raichu,1,Mouse Pokemon,['Surge Surfer'],0.7,21,Electric,Psychic,485,60,85,50,95,85,110,2,2,1,0.5,1,0.5,1,0.5,2,1,2,1,1,1,0.5,1,0.5,1,75,"2,570",70,0,0,0
27,Sandshrew,1,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",0.6,12,Ground,None,300,50,75,85,20,30,40,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,"5,140",70,0,0,0
27,Alolan Sandshrew,1,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",0.7,40,Ice,Steel,300,50,75,90,10,35,40,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1,255,"5,140",70,0,0,0
28,Sandslash,1,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",1,29.5,Ground,None,450,75,100,110,45,55,65,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,90,"5,140",70,0,0,0
28,Alolan Sandslash,1,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",1.2,55,Ice,Steel,450,75,100,120,25,65,65,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1,90,"5,140",70,0,0,0
29,Nidoran female,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.4,7,Poison,None,275,55,47,52,40,40,41,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,"5,140",70,0,0,0
30,Nidorina,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.8,20,Poison,None,365,70,62,67,55,55,56,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,"5,140",70,0,0,0
31,Nidoqueen,1,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.3,60,Poison,Ground,505,90,92,87,75,85,76,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,"5,140",70,0,0,0
32,Nidoran male,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.5,9,Poison,None,273,46,57,40,40,40,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,235,"5,140",70,0,0,0
33,Nidorino,1,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.9,19.5,Poison,None,365,61,72,57,55,55,65,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,120,"5,140",70,0,0,0
34,Nidoking,1,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.4,62,Poison,Ground,505,81,102,77,85,75,85,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,45,"5,140",70,0,0,0
35,Clefairy,1,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.6,7.5,Fairy,None,323,70,45,48,60,65,35,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,150,"2,570",140,0,0,0
36,Clefable,1,Fairy Pokemon,"['Cute Charm', 'Magic Guard', 'Unaware']",1.3,40,Fairy,None,483,95,70,73,95,90,60,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,"2,570",140,0,0,0
37,Vulpix,1,Fox Pokemon,"['Flash Fire', 'Drought']",0.6,9.9,Fire,None,299,38,41,40,50,65,65,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,"5,140",70,0,0,0
37,Alolan Vulpix,1,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",0.6,9.9,Ice,None,299,38,41,40,50,65,65,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,190,"5,140",70,0,0,0
38,Ninetales,1,Fox Pokemon,"['Flash Fire', 'Drought']",1.1,19.9,Fire,None,505,73,76,75,81,100,100,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,"5,140",70,0,0,0
38,Alolan Ninetales,1,Fox Pokemon,"['Snow Cloak', 'Snow Warning']",1.1,19.9,Ice,Fairy,505,73,67,75,81,100,109,0.5,0.5,0,1,1,1,2,1,1,1,1,0.5,1,2,1,2,4,1,75,"5,140",70,0,0,0
39,Jigglypuff,1,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,5.5,Normal,Fairy,270,115,45,20,45,25,20,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,170,"2,570",70,0,0,0
40,Wigglytuff,1,Balloon Pokemon,"['Cute Charm', 'Competitive', 'Frisk']",1,12,Normal,Fairy,435,140,70,45,85,50,45,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,50,"2,570",70,0,0,0
41,Zubat,1,Bat Pokemon,"['Inner Focus', 'Infiltrator']",0.8,7.5,Poison,Flying,245,40,45,35,30,40,55,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,255,"3,855",70,0,0,0
42,Golbat,1,Bat Pokemon,"['Inner Focus', 'Infiltrator']",1.6,55,Poison,Flying,455,75,80,70,65,75,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,"3,855",70,0,0,0
43,Oddish,1,Weed Pokemon,"['Chlorophyll', 'Run Away']",0.5,5.4,Grass,Poison,320,45,50,55,75,65,30,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,"5,140",70,0,0,0
44,Gloom,1,Weed Pokemon,"['Chlorophyll', 'Stench']",0.8,8.6,Grass,Poison,395,60,65,70,85,75,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,"5,140",70,0,0,0
45,Vileplume,1,Flower Pokemon,"['Chlorophyll', 'Effect Spore']",1.2,18.6,Grass,Poison,490,75,80,85,110,90,50,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,"5,140",70,0,0,0
46,Paras,1,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",0.3,5.4,Bug,Grass,285,35,70,55,45,55,25,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,190,"5,140",70,0,0,0
47,Parasect,1,Mushroom Pokemon,"['Effect Spore', 'Dry Skin', 'Damp']",1,29.5,Bug,Grass,405,60,95,80,60,80,30,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,75,"5,140",70,0,0,0
48,Venonat,1,Insect Pokemon,"['Compound Eyes', 'Tinted Lens', 'Run Away']",1,30,Bug,Poison,305,60,55,50,40,55,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,190,"5,140",70,0,0,0
49,Venomoth,1,Poison Moth Pokemon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",1.5,12.5,Bug,Poison,450,70,65,60,90,75,90,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,75,"5,140",70,0,0,0
50,Diglett,1,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.2,0.8,Ground,None,265,10,55,25,35,45,95,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,255,"5,140",70,0,0,0
50,Alolan Diglett,1,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.2,1,Ground,Steel,265,10,55,30,35,45,90,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,255,"5,140",70,0,0,0
51,Dugtrio,1,Mole Pokemon,"['Sand Veil', 'Arena Trap', 'Sand Force']",0.7,33.3,Ground,None,425,35,100,50,50,70,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,"5,140",70,0,0,0
51,Alolan Dugtrio,1,Mole Pokemon,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.7,66.6,Ground,Steel,425,35,100,60,50,70,110,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,50,"5,140",70,0,0,0
52,Meowth,1,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Unnerve']",0.4,4.2,Normal,None,290,40,45,35,40,40,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,"5,140",70,0,0,0
52,Alolan Meowth,1,Scratch Cat Pokemon,"['Pickup', 'Technician', 'Rattled']",0.4,4.2,Dark,None,290,40,35,35,50,40,90,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,255,"5,140",70,0,0,0
53,Persian,1,Classy Cat Pokemon,"['Limber', 'Technician', 'Unnerve']",1,32,Normal,None,440,65,70,60,65,65,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,"5,140",70,0,0,0
53,Alolan Persian,1,Classy Cat Pokemon,"['Fur Coat', 'Technician', 'Rattled']",1.1,33,Dark,None,440,65,60,60,75,65,115,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,"5,140",70,0,0,0
54,Psyduck,1,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",0.8,19.6,Water,None,320,50,52,48,65,50,55,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,"5,140",70,0,0,0
55,Golduck,1,Duck Pokemon,"['Damp', 'Cloud Nine', 'Swift Swim']",1.7,76.6,Water,None,500,80,82,78,95,80,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,"5,140",70,0,0,0
56,Mankey,1,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,28,Fighting,None,305,40,80,35,35,45,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,190,"5,140",70,0,0,0
57,Primeape,1,Pig Monkey Pokemon,"['Vital Spirit', 'Anger Point', 'Defiant']",1,32,Fighting,None,455,65,105,60,60,70,95,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75,"5,140",70,0,0,0
58,Growlithe,1,Puppy Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",0.7,19,Fire,None,350,55,70,45,70,50,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,"5,140",70,0,0,0
59,Arcanine,1,Legendary Pokemon,"['Intimidate', 'Flash Fire', 'Justified']",1.9,155,Fire,None,555,90,110,80,100,80,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,"5,140",70,0,0,0
60,Poliwag,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",0.6,12.4,Water,None,300,40,50,40,40,40,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,255,"5,140",70,0,0,0
61,Poliwhirl,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1,20,Water,None,385,65,65,65,50,50,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0,120,"5,140",70,0,0,0
62,Poliwrath,1,Tadpole Pokemon,"['Water Absorb', 'Damp', 'Swift Swim']",1.3,54,Water,Fighting,510,90,95,95,70,90,70,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0,45,"5,140",70,0,0,0
63,Abra,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",0.9,19.5,Psychic,None,310,25,20,15,105,55,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,200,"5,140",70,0,0,0
64,Kadabra,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.3,56.5,Psychic,None,400,40,35,30,120,70,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,"5,140",70,0,0,0
65,Alakazam,1,Psi Pokemon,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.5,48,Psychic,None,500,55,50,45,135,95,120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,"5,140",70,0,0,0
65,Mega Alakazam,1,Psi Pokemon,['Trace'],1.2,48,Psychic,None,600,55,50,65,175,105,150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,"5,140",70,0,0,1
66,Machop,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",0.8,19.5,Fighting,None,305,70,80,50,35,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,180,"5,140",70,0,0,0
67,Machoke,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.5,70.5,Fighting,None,405,80,100,70,50,60,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,"5,140",70,0,0,0
68,Machamp,1,Superpower Pokemon,"['Guts', 'No Guard', 'Steadfast']",1.6,130,Fighting,None,505,90,130,80,65,85,55,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,"5,140",70,0,0,0
69,Bellsprout,1,Flower Pokemon,"['Chlorophyll', 'Gluttony']",0.7,4,Grass,Poison,300,50,75,35,70,30,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,255,"5,140",70,0,0,0
70,Weepinbell,1,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1,6.4,Grass,Poison,390,65,90,50,85,45,55,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,120,"5,140",70,0,0,0
71,Victreebel,1,Flycatcher Pokemon,"['Chlorophyll', 'Gluttony']",1.7,15.5,Grass,Poison,490,80,105,65,100,70,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,"5,140",70,0,0,0
72,Tentacool,1,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.9,45.5,Water,Poison,335,40,40,35,50,100,70,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,190,"5,140",70,0,0,0
73,Tentacruel,1,Jellyfish Pokemon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1.6,55,Water,Poison,515,80,70,65,80,120,100,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,60,"5,140",70,0,0,0
74,Geodude,1,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",0.4,20,Rock,Ground,300,40,80,100,30,30,20,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,255,"3,855",70,0,0,0
74,Alolan Geodude,1,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.4,20.3,Rock,Electric,300,40,80,100,30,30,20,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,255,"3,855",70,0,0,0
75,Graveler,1,Rock Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1,105,Rock,Ground,390,55,95,115,45,45,35,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,"3,855",70,0,0,0
75,Alolan Graveler,1,Rock Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1,110,Rock,Electric,390,55,95,115,45,45,35,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,120,"3,855",70,0,0,0
76,Golem,1,Megaton Pokemon,"['Rock Head', 'Sturdy', 'Sand Veil']",1.4,300,Rock,Ground,495,80,120,130,55,65,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,"3,855",70,0,0,0
76,Alolan Golem,1,Megaton Pokemon,"['Magnet Pull', 'Sturdy', 'Galvanize']",1.7,316,Rock,Electric,495,80,120,130,55,65,45,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2,45,"3,855",70,0,0,0
77,Ponyta,1,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1,30,Fire,None,410,50,85,55,65,65,90,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,"5,140",70,0,0,0
77,Galarian Ponyta,1,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",0.8,24,Psychic,None,410,50,85,55,65,65,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,"5,140",70,0,0,0
78,Rapidash,1,Fire Horse Pokemon,"['Run Away', 'Flash Fire', 'Flame Body']",1.7,95,Fire,None,500,65,100,70,80,80,105,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,"5,140",70,0,0,0
78,Galarian Rapidash,1,Unique Horn Pokemon,"['Run Away', 'Pastel Veil', 'Anticipation']",1.7,80,Psychic,Fairy,500,65,100,70,80,80,105,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,60,"5,140",70,0,0,0
79,Slowpoke,1,Dopey Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.2,36,Water,Psychic,315,90,65,65,40,40,15,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,190,"5,140",70,0,0,0
79,Galarian Slowpoke,1,Dopey Pokemon,"['Gluttony', 'Own Tempo']",1.2,36,Psychic,None,315,90,65,65,40,40,15,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,"5,140",70,0,0,0
80,Slowbro,1,Hermit Crab Pokemon,"['Oblivious', 'Own Tempo', 'Regenerator']",1.6,78.5,Water,Psychic,490,95,75,110,100,80,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,"5,140",70,0,0,0
80,Mega Slowbro,1,Hermit Crab Pokemon,['Shell Armor'],2,120,Water,Psychic,590,95,75,180,130,80,30,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,"5,140",70,0,0,1
